iter	Passed	Remaining
0	1	119
1	2	114
2	3	105
3	4	98
4	5	97
5	6	94
6	6	90
7	7	86
8	8	83
9	9	81
10	9	78
11	10	76
12	11	74
13	11	73
14	12	71
15	13	71
16	14	71
17	15	70
18	16	69
19	16	67
20	17	66
21	18	65
22	19	64
23	19	63
24	20	61
25	21	60
26	22	59
27	22	58
28	23	57
29	24	56
30	25	55
31	25	54
32	26	53
33	27	52
34	27	51
35	28	51
36	29	50
37	30	49
38	31	49
39	32	48
40	32	47
41	33	45
42	33	44
43	34	44
44	35	43
45	36	42
46	37	41
47	37	41
48	38	40
49	39	39
50	40	38
51	41	38
52	42	37
53	43	36
54	44	36
55	44	35
56	45	34
57	46	33
58	47	32
59	48	32
60	49	31
61	50	30
62	50	29
63	51	29
64	52	28
65	53	27
66	54	26
67	55	26
68	56	25
69	57	24
70	58	23
71	59	23
72	60	22
73	61	21
74	62	20
75	64	20
76	65	19
77	66	18
78	67	17
79	68	17
80	68	16
81	69	15
82	70	14
83	71	13
84	72	12
85	73	12
86	74	11
87	75	10
88	76	9
89	77	8
90	78	7
91	79	6
92	80	6
93	81	5
94	81	4
95	82	3
96	83	2
97	84	1
98	85	0
99	85	0
